order_id,ma_don,ma_cua_hang,ngay,ten_khach,so_dien_thoai,thanh_tien,nhan_vien,ghi_chu
1,HD00001,MM016,17/08/2025,Bùi Xuân Thu,0896790293,11990000,Anh Trung,Trả góp 0%
2,MM006-0001,MM006,17/08/2024,Võ Tuấn Ngân,0360571457,38480000,Anh Linh,Trả góp 0%
3,MM006-0002,MM006,15/05/2026,Vo Thi Ha,0390072725,18990000,Chị Vy,Khách hẹn lấy sau
4,HD00001,MM023,24/06/2026,Dương Kim Khánh,0869495894,11682000,Anh Hiếu,Khách hẹn lấy sau
5,HD00001,MM004,20/07/2024,Pham Gia Nhung,0796331352,4990000,Anh Khoa,Khách hẹn lấy sau
6,MM022-0001,MM022,22/07/2026,Vũ Tuấn Nga,84704489830,7731000,Chị Hải,
7,HD00001,MM013,22/06/2025,VŨ TUẤN NGA,84704489830,7490000,Anh Tuyết,Khách hẹn lấy sau
8,HD00001,MM020,02/03/2026,LÝ THANH GIANG,0843942098,6490000,Anh Thảo,
9,HD00001,MM010,07/12/2025,Vũ Đức Trung,0974842218,27990000,Anh Thu,
10,MM009-0001,MM009,12-8-26,Vũ Đức Trung,0974842218,427500,Chị Mỹ,Đã xuất hóa đơn VAT
11,HD00001,MM001,05/03/2025,Vũ Đức Trung,0974842218,675000,Chị Duy,Đã xuất hóa đơn VAT
12,MM019-0001,MM019,14/08/2024,Huỳnh Hoài Phương,0399599564,36556000,Anh Yến,Trả góp 0%
13,HD00002,MM019,20-1-26,Lý Hữu Hiếu,,5841000,Anh Giang,Khách hẹn lấy sau
14,HD00001,MM002,02/04/2026,Huỳnh Anh Thắng,0906654473,26181000,Chị Ngân,Đã xuất hóa đơn VAT
15,MM024-0001,MM024,21-9-24,Huỳnh Anh Thắng,0906654473,31990000,Anh Tú,Khách hẹn lấy sau
16,MM014-0001,MM014,02/09/2024,Nguyễn Bảo Nga,0919473138,11990000,Chị Long,Trả góp 0%
17,MM003-0001,MM003,27/08/2024,Nguyễn Bảo Nga,84919473138,28980000,Chị Trang,
18,HD00002,MM001,24/08/2024,Huỳnh Thanh Mỹ,0379514591,22990000,Anh Hiếu,Khách hẹn lấy sau
19,HD00002,MM014,07/12/2025,BÙI QUANG PHƯƠNG,0797930901,750000,Anh Thu,Khách hẹn lấy sau
20,MM020-0002,MM020,2025.08.02,Bùi Quang Phương,0797930901,36990000,Chị Tuyết,Khách hẹn lấy sau
21,MM013-0002,MM013,12-10-25,Bùi Quang Phương,84797930901,7191000,Anh Đạt,
22,MM024-0002,MM024,30-8-24,Duong Hoai Hanh,0797054481,6165500,Anh Tuyết,Khách hẹn lấy sau
23,HD00002,MM010,22-11-25,Do Minh Son,0966822937,31990000,Anh Phong,Đã xuất hóa đơn VAT
24,HD00003,MM001,26/09/2024,Đỗ Minh Sơn,84966822937,7191000,Chị Vy,
25,MM022-0002,MM022,06/07/2024,Vũ Thị Khoa,0880436275,120000,Anh Trung,
26,MM003-0002,MM003,21-10-25,Vu Thi Khoa,84880436275,27990000,Anh Yến,Trả góp 0%
27,HD00003,MM019,4-12-24,VŨ THỊ KHOA,0880436275,28470000,,Khách hẹn lấy sau
28,HD00003,MM010,2025.06.20,Vũ Thị Khoa,0880436275,46372000,Anh Giang,Đã xuất hóa đơn VAT
29,HD00003,MM013,03/07/2024,Nguyễn Đức Yến,0913080693,2691000,Chị Duy,
30,HD00001,MM015,24-7-26,Phạm Xuân Đạt,0765658736,6490000,Chị Ngân,Đã xuất hóa đơn VAT
31,HD00004,MM019,29/07/2025,Pham Xuan Dat,0765658736,28791000,Anh Thu,
32,MM012-0001,MM012,27/12/2024,Ngô Gia Thắng,0853595026,29470000,Chị Bình,Trả góp 0%
33,HD00003,MM006,27/06/2025,Ngô Gia Thắng,0853595026,18990000,Anh Đạt,Trả góp 0%
34,MM018-0001,MM018,14-9-25,Ngô Gia Thắng,0853 595 026,5990000,Anh Thu,
35,HD00002,MM009,19/09/2024,Dương Ngọc Mỹ,84356015912,14382000,Chị Vy,Đã xuất hóa đơn VAT
36,HD00002,MM023,25/01/2026,Lê Quang Hoa,0344268217,27990000,Chị Trang,Trả góp 0%
37,HD00002,MM002,02/04/2026,Hoàng Hữu Hoa,0944642593,28470000,Anh Hiếu,
38,MM022-0003,MM022,14/07/2026,Dương Thị Khánh,0706101477,21169000,Anh Mỹ,Đã xuất hóa đơn VAT
39,MM013-0004,MM013,25-8-25,Nguyen Hoai Dat,0947475296,,Anh Quyên,Khách hẹn lấy sau
40,HD00002,MM004,10/04/2026,Le Ngoc Oanh,0820785401,2250000,Anh Lâm,Đã xuất hóa đơn VAT
41,MM017-0001,MM017,2024.07.08,Phạm Thị Phương,0815909975,6490000,Anh Thu,Trả góp 0%
42,HD00002,MM015,31-12-25,Hoàng Đức Mỹ,0381605058,5841000,Chị Huy,
43,MM021-0001,MM021,06/12/2025,Hoàng Đức Mỹ,0381 605 058,11682000,Chị Giang,
44,HD00003,MM014,17/02/2026,Hoàng Đức Mỹ,0381605058,6165500,Chị Thu,
45,HD00002,MM021,18/03/2025,Dương Thị Quân,0867449610,,Chị Nam,
46,HD00005,MM019,15/11/2024,Ngô Hữu Dung,0882153764,25460000,Chị Nga,
47,HD00003,MM004,21/12/2024,Ngô Hữu Dung,84882153764,4440000,Anh Lâm,Khách hẹn lấy sau
48,HD00004,MM001,15/02/2026,Ngô Hữu Dung,0882153764,36990000,Chị Vy,Khách hẹn lấy sau
49,HD00004,MM014,9-11-25,Dương Văn Hạnh,0358634860,16980000,Chị Thu,Đã xuất hóa đơn VAT
50,HD00003,MM009,19/08/2025,Dương Văn Hạnh,0358634860,11990000,Anh Huy,
51,HD00002,MM018,26/04/2026,Dương Văn Quyên,0378914104,6490000,Chị Cường,Đã xuất hóa đơn VAT
52,HD00003,MM002,2025.01.27,Dương Văn Quyên,84378914104,2241000,Chị Thu,Đã xuất hóa đơn VAT
53,MM024-0003,MM024,24/07/2025,Lê Thị Giang,0977333585,5841000,Anh Phương,Đã xuất hóa đơn VAT
54,HD00002,MM016,03/07/2024,PHAN XUÂN GIANG,0786366818,6490000,Anh Vy,
55,HD00004,MM022,27/10/2024,Phan Anh Hiếu,84818233129,40792500,Chị Yến,Trả góp 0%
56,MM018-0003,MM018,21/05/2025,Đỗ Văn Như,84379107211,250000,Anh Tú,Đã xuất hóa đơn VAT
57,MM003-0003,MM003,4-6-25,Lê Hữu Huy,,5841000,Chị Oanh,Đã xuất hóa đơn VAT
58,HD00006,MM019,8-4-25,Lê Hữu Phương,0707323435,27990000,Chị Ngân,Khách hẹn lấy sau
59,HD00004,MM010,14/11/2025,Trần Ngọc Hiếu,0788280216,55980000,Anh Tú,
60,HD00003,MM021,4-11-24,Trần Ngọc Hiếu,0788280216,5841000,Chị Hiếu,
61,HD00004,MM021,09/04/2025,Trần Ngọc Hiếu,,16431500,Anh Lan,Đã xuất hóa đơn VAT
62,HD00004,MM009,16/09/2025,VÕ VĂN PHƯƠNG,84977166190,750000,Anh Trung,
63,MM018-0004,MM018,12/01/2025,Võ Văn Phương,0977166190,450000,Anh Hoa,
64,MM003-0004,MM003,8-11-25,Võ Văn Phương,0977166190,1701000,Anh Trung,
65,HD00005,MM021,02/08/2025,ĐẶNG NGỌC THẮNG,0353165556,45980000,Anh Tuyết,
66,MM023-0003,MM023,6-12-25,Ngô Thị Khánh,0768554661,4131000,,
67,MM004-0004,MM004,25-4-26,Phạm Kim Hiếu,0944 765 505,21840500,Anh Bình,
68,HD00001,MM008,13/06/2026,Phan Tuấn Dung,0784469313,1125000,Anh Trung,Trả góp 0%
69,HD00004,MM006,30-7-26,Huỳnh Quang Sơn,0833462930,5681000,Chị Cường,Trả góp 0%
70,MM014-0005,MM014,2026.03.20,Lý Thị Cường,0895901438,18990000,Anh Khoa,Đã xuất hóa đơn VAT
71,HD00003,MM015,8-7-26,Lý Thị Cường,0895901438,7990000,Anh Mai,Trả góp 0%
72,HD00004,MM023,16/08/2025,Ly Thi Cuong,,11856000,Chị Oanh,Đã xuất hóa đơn VAT
73,HD00002,MM012,07/08/2026,Lý Gia Quân,0350429430,5990000,Anh Khánh,
74,HD00001,MM011,22/08/2026,Lý Ngọc Hiếu,0356457670,18980500,Anh Trung,
75,MM016-0003,MM016,31-5-25,Võ Ngọc Đạt,0346145028,32440000,Anh Lan,Trả góp 0%
76,HD00003,MM012,10-3-25,Võ Ngọc Đạt,0346 145 028,11181000,Anh Lan,
77,HD00005,MM023,10/03/2026,Võ Ngọc Đạt,0346145028,4990000,Anh Yến,Đã xuất hóa đơn VAT
